Time,Variable,Value
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,21.07705866
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.07317051071004,-89.40119476487244"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),32.75515191
2:37:30 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Normal
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,21.07060432
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.07316549043055,-89.40118165003588"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),9.147419942
2:37:30 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Normal
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,24.13270944
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.0731899615082,-89.40120361383033"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),9.670572497
2:37:30 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Sport
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,21.9697749
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.0731807026951,-89.40119207834695"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),6.183189981
2:37:30 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Eco
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,22.89444201
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.07320850271247,-89.40118553901904"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),11.05889868
2:37:30 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Normal
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,23.02846537
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.07317468809568,-89.40119824804434"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),14.77916177
2:37:30 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Sport
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,20.08905259
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.073184464421644,-89.40126887056019"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),33.80517378
2:37:31 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Sport
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,20.9528514
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.07314889039947,-89.40123917882534"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),16.91356079
2:37:31 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Eco
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,21.58020962
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.07315102354437,-89.40125402716976"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),8.524163103
2:37:31 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Normal
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,22.82836206
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.07316081626105,-89.40126353395804"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),9.334922045
2:37:31 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Sport
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,21.99540637
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.073158553802394,-89.4012682156923"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),3.189352455
2:37:31 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Normal
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,23.22426737
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.07321501019318,-89.40131374473462"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),27.0590408
2:37:31 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Normal
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,20.72430143
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.07321244393495,-89.40131637869513"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),2.725809924
2:37:31 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Normal
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,21.99255488
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.0732658815774,-89.40134861099494"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),22.83631426
2:37:31 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Eco
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,24.7660011
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.073296716202215,-89.40133608551935"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),13.38480141
2:37:31 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Normal
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,21.15528463
2:37:31 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:31 PM,GPS Location,"43.073279637695855,-89.40134263927486"
2:37:31 PM,Vehicle State 1 (Drive Position),Drive
2:37:31 PM,Vehicle State 2 (Error Code),None
2:37:31 PM,Vehicle State 3 (Key State/Position),RUN
2:37:31 PM,Vehicle State 4 (Speed),12.67259858
2:37:31 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:31 PM,Vehicle State 6 (Drive Mode),Eco
2:37:31 PM,Accessory A Type,Front Light Bar
2:37:31 PM,Accessory A State,0
2:37:31 PM,Accessory A Power Draw,0
2:37:31 PM,Accessory B Type,Rear Chase Light
2:37:31 PM,Accessory B State,2
2:37:31 PM,Accessory B Power Draw,23.84559511
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.07332986883073,-89.40138234566157"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),19.65373592
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Eco
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,24.84110837
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.073317403164864,-89.40130880700984"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),28.30456277
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Normal
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,22.06827343
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.07331215545819,-89.401279184792"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),15.31501933
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Eco
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,22.51151721
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.07326326062775,-89.4012375639369"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),29.56208506
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Normal
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,20.42428701
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.073210078660104,-89.40118522469658"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),18.79688427
2:37:32 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Sport
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,21.31927428
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.073184487426865,-89.40115211074858"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),14.95351738
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Eco
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,24.90681964
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.0731790253454,-89.40111182745908"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),18.144288
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Sport
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,22.05863386
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.073254547820305,-89.40107517464078"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),29.44464733
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Normal
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,20.48709795
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.07331234700015,-89.40099948201926"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),31.57691597
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Normal
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,23.92347161
2:37:32 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:32 PM,GPS Location,"43.07326625415387,-89.40099377946058"
2:37:32 PM,Vehicle State 1 (Drive Position),Drive
2:37:32 PM,Vehicle State 2 (Error Code),None
2:37:32 PM,Vehicle State 3 (Key State/Position),RUN
2:37:32 PM,Vehicle State 4 (Speed),19.09511255
2:37:32 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:32 PM,Vehicle State 6 (Drive Mode),Sport
2:37:32 PM,Accessory A Type,Front Light Bar
2:37:32 PM,Accessory A State,0
2:37:32 PM,Accessory A Power Draw,0
2:37:32 PM,Accessory B Type,Rear Chase Light
2:37:32 PM,Accessory B State,2
2:37:32 PM,Accessory B Power Draw,21.15978691
2:37:33 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:33 PM,GPS Location,"43.07325993113972,-89.40098015832383"
2:37:33 PM,Vehicle State 1 (Drive Position),Drive
2:37:33 PM,Vehicle State 2 (Error Code),None
2:37:33 PM,Vehicle State 3 (Key State/Position),RUN
2:37:33 PM,Vehicle State 4 (Speed),5.539550374
2:37:33 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:33 PM,Vehicle State 6 (Drive Mode),Eco
2:37:33 PM,Accessory A Type,Front Light Bar
2:37:33 PM,Accessory A State,0
2:37:33 PM,Accessory A Power Draw,0
2:37:33 PM,Accessory B Type,Rear Chase Light
2:37:33 PM,Accessory B State,2
2:37:33 PM,Accessory B Power Draw,23.74734377
2:37:33 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:33 PM,GPS Location,"43.073276877156694,-89.40098293858225"
2:37:33 PM,Vehicle State 1 (Drive Position),Drive
2:37:33 PM,Vehicle State 2 (Error Code),None
2:37:33 PM,Vehicle State 3 (Key State/Position),RUN
2:37:33 PM,Vehicle State 4 (Speed),21.58075152
2:37:33 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:33 PM,Vehicle State 6 (Drive Mode),Normal
2:37:33 PM,Accessory A Type,Front Light Bar
2:37:33 PM,Accessory A State,0
2:37:33 PM,Accessory A Power Draw,0
2:37:33 PM,Accessory B Type,Rear Chase Light
2:37:33 PM,Accessory B State,2
2:37:33 PM,Accessory B Power Draw,24.47672047
2:37:33 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:33 PM,GPS Location,"43.07333284229542,-89.40094557831301"
2:37:33 PM,Vehicle State 1 (Drive Position),Drive
2:37:33 PM,Vehicle State 2 (Error Code),None
2:37:33 PM,Vehicle State 3 (Key State/Position),RUN
2:37:33 PM,Vehicle State 4 (Speed),27.63612275
2:37:33 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:33 PM,Vehicle State 6 (Drive Mode),Normal
2:37:33 PM,Accessory A Type,Front Light Bar
2:37:33 PM,Accessory A State,0
2:37:33 PM,Accessory A Power Draw,0
2:37:33 PM,Accessory B Type,Rear Chase Light
2:37:33 PM,Accessory B State,2
2:37:33 PM,Accessory B Power Draw,21.28734991
2:37:33 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:33 PM,GPS Location,"43.07332295351147,-89.40097483875294"
2:37:33 PM,Vehicle State 1 (Drive Position),Drive
2:37:33 PM,Vehicle State 2 (Error Code),None
2:37:33 PM,Vehicle State 3 (Key State/Position),RUN
2:37:33 PM,Vehicle State 4 (Speed),18.38177858
2:37:33 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:33 PM,Vehicle State 6 (Drive Mode),Normal
2:37:33 PM,Accessory A Type,Front Light Bar
2:37:33 PM,Accessory A State,0
2:37:33 PM,Accessory A Power Draw,0
2:37:33 PM,Accessory B Type,Rear Chase Light
2:37:33 PM,Accessory B State,2
2:37:33 PM,Accessory B Power Draw,24.33045446
2:37:33 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:33 PM,GPS Location,"43.07331139378088,-89.40095899998803"
2:37:33 PM,Vehicle State 1 (Drive Position),Drive
2:37:33 PM,Vehicle State 2 (Error Code),None
2:37:33 PM,Vehicle State 3 (Key State/Position),RUN
2:37:33 PM,Vehicle State 4 (Speed),6.900881985
2:37:33 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:33 PM,Vehicle State 6 (Drive Mode),Eco
2:37:33 PM,Accessory A Type,Front Light Bar
2:37:33 PM,Accessory A State,0
2:37:33 PM,Accessory A Power Draw,0
2:37:33 PM,Accessory B Type,Rear Chase Light
2:37:33 PM,Accessory B State,2
2:37:33 PM,Accessory B Power Draw,20.79818263
2:37:33 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:33 PM,GPS Location,"43.073325936449244,-89.40097085464252"
2:37:33 PM,Vehicle State 1 (Drive Position),Drive
2:37:33 PM,Vehicle State 2 (Error Code),None
2:37:33 PM,Vehicle State 3 (Key State/Position),RUN
2:37:33 PM,Vehicle State 4 (Speed),6.896166508
2:37:33 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:33 PM,Vehicle State 6 (Drive Mode),Eco
2:37:33 PM,Accessory A Type,Front Light Bar
2:37:33 PM,Accessory A State,0
2:37:33 PM,Accessory A Power Draw,0
2:37:33 PM,Accessory B Type,Rear Chase Light
2:37:33 PM,Accessory B State,2
2:37:33 PM,Accessory B Power Draw,22.94284288
2:37:33 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:33 PM,GPS Location,"43.073325144090866,-89.40098270382465"
2:37:33 PM,Vehicle State 1 (Drive Position),Drive
2:37:33 PM,Vehicle State 2 (Error Code),None
2:37:33 PM,Vehicle State 3 (Key State/Position),RUN
2:37:33 PM,Vehicle State 4 (Speed),7.765316177
2:37:33 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:33 PM,Vehicle State 6 (Drive Mode),Normal
2:37:33 PM,Accessory A Type,Front Light Bar
2:37:33 PM,Accessory A State,0
2:37:33 PM,Accessory A Power Draw,0
2:37:33 PM,Accessory B Type,Rear Chase Light
2:37:33 PM,Accessory B State,2
2:37:33 PM,Accessory B Power Draw,23.46865594
2:37:33 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:33 PM,GPS Location,"43.07334074562553,-89.40101039933712"
2:37:33 PM,Vehicle State 1 (Drive Position),Drive
