Time,Variable,Value
10:39:03 AM,Vehicle State 6 (Drive Mode),Sport
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,40.753019328823285
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.07333636779646,-89.40093963166977"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),11.14034438891415
10:39:03 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Normal
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,33.42103316674245
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.07336088908779,-89.4009289446897"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),9.437576172148477
10:39:03 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Eco
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,28.312728516445432
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.07333060377184,-89.40091569512123"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),15.052371882017265
10:39:03 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Normal
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,45.15711564605179
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.07330479229759,-89.40089114982189"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),12.335500822730026
10:39:03 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Sport
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,37.00650246819008
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.073269755540146,-89.40092596889815"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),16.29262587
10:39:03 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Normal
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,48.877877623367105
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.073281983753496,-89.4008979607005"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),10.080404346638517
10:39:03 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Normal
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,30.24121303991555
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.07331815248504,-89.40083802927099"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),28.098469008287854
10:39:03 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Eco
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,84.29540702486356
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.07331538926402,-89.40085916045324"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),8.536092639420763
10:39:04 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Sport
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,25.60827791826229
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.07325040675088,-89.4008034992337"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),23.37126261
10:39:04 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Normal
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,70.11378782
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.07327438230398,-89.40082808082961"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),11.63353037032169
10:39:04 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Normal
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,34.90059111096507
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.07330918169429,-89.40081303121464"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),30.210182051008378
10:39:04 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Normal
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,90.63054615302514
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.07327610100761,-89.40083614497138"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),12.846608902154305
10:39:04 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Normal
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,38.53982670646292
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.07327610053164,-89.40083621020055"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),0.13730718069265124
10:39:04 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Sport
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,0.41192154207795373
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.07321752205541,-89.4008275071455"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),34.74256135085487
10:39:04 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Normal
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,100
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.073235291595736,-89.40083229760131"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),7.020803948
10:39:04 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Normal
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,21.06241184277513
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.0732536912378,-89.40086418797642"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),14.718242278255318
10:39:04 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Normal
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,44.15472683476595
10:39:04 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:04 AM,GPS Location,"43.07327161905933,-89.40093270517038"
10:39:04 AM,Vehicle State 1 (Drive Position),Drive
10:39:04 AM,Vehicle State 2 (Error Code),None
10:39:04 AM,Vehicle State 3 (Key State/Position),RUN
10:39:04 AM,Vehicle State 4 (Speed),30.112223169974452
10:39:04 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:04 AM,Vehicle State 6 (Drive Mode),Sport
10:39:04 AM,Accessory A Type,Front Winch
10:39:04 AM,Accessory A State,Retracted
10:39:04 AM,Accessory A Power,0
10:39:04 AM,Accessory B Type,Audio System
10:39:04 AM,Accessory B Volume,90.33666950992335
10:39:05 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:05 AM,GPS Location,"43.0732800970803,-89.4009426089976"
10:39:05 AM,Vehicle State 1 (Drive Position),Drive
10:39:05 AM,Vehicle State 2 (Error Code),None
10:39:05 AM,Vehicle State 3 (Key State/Position),RUN
10:39:05 AM,Vehicle State 4 (Speed),8.211870672
10:39:05 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:05 AM,Vehicle State 6 (Drive Mode),Eco
10:39:05 AM,Accessory A Type,Front Winch
10:39:05 AM,Accessory A State,Retracted
10:39:05 AM,Accessory A Power,0
10:39:05 AM,Accessory B Type,Audio System
10:39:05 AM,Accessory B Volume,24.63561201521013
10:39:05 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:05 AM,GPS Location,"43.07326731650774,-89.40095941448432"
10:39:05 AM,Vehicle State 1 (Drive Position),Drive
10:39:05 AM,Vehicle State 2 (Error Code),None
10:39:05 AM,Vehicle State 3 (Key State/Position),RUN
10:39:05 AM,Vehicle State 4 (Speed),6.636627466834303
10:39:05 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:05 AM,Vehicle State 6 (Drive Mode),Eco
10:39:05 AM,Accessory A Type,Front Winch
10:39:05 AM,Accessory A State,Retracted
10:39:05 AM,Accessory A Power,0
10:39:05 AM,Accessory B Type,Audio System
10:39:05 AM,Accessory B Volume,19.90988240050291
10:39:05 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:05 AM,GPS Location,"43.073261300490024,-89.4009590629481"
10:39:05 AM,Vehicle State 1 (Drive Position),Drive
10:39:05 AM,Vehicle State 2 (Error Code),None
10:39:05 AM,Vehicle State 3 (Key State/Position),RUN
10:39:05 AM,Vehicle State 4 (Speed),3.259244120154498
10:39:05 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:05 AM,Vehicle State 6 (Drive Mode),Normal
10:39:05 AM,Accessory A Type,Front Winch
10:39:05 AM,Accessory A State,Retracted
10:39:05 AM,Accessory A Power,0
10:39:05 AM,Accessory B Type,Audio System
10:39:05 AM,Accessory B Volume,9.777732360463494
10:39:05 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:05 AM,GPS Location,"43.07321819789733,-89.40094534072624"
10:39:05 AM,Vehicle State 1 (Drive Position),Drive
10:39:05 AM,Vehicle State 2 (Error Code),None
10:39:05 AM,Vehicle State 3 (Key State/Position),RUN
10:39:05 AM,Vehicle State 4 (Speed),26.63239918170551
10:39:05 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:05 AM,Vehicle State 6 (Drive Mode),Normal
10:39:05 AM,Accessory A Type,Front Winch
10:39:05 AM,Accessory A State,Retracted
10:39:05 AM,Accessory A Power,0
10:39:05 AM,Accessory B Type,Audio System
10:39:05 AM,Accessory B Volume,79.89719754511653
10:39:05 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:05 AM,GPS Location,"43.07325539797195,-89.40094693354449"
10:39:05 AM,Vehicle State 1 (Drive Position),Drive
10:39:05 AM,Vehicle State 2 (Error Code),None
10:39:05 AM,Vehicle State 3 (Key State/Position),RUN
10:39:05 AM,Vehicle State 4 (Speed),20.718850315312686
10:39:05 AM,Vehicle State 5 (2WD/4WD),2WD
